Date,Tournament,Round,Home Team,Away Team,Home Score,Away Score,Home Tries,Away Tries,Home Points,Away Points,Venue,Neutral,Home Rank,Away Rank,Home Elo,Away Elo
2009-09-05,"3N,MP",s,AUS,SAF,21,6,2,0,4,0,"Suncorp Stadium, Brisbane",0,3,1,1970,1990
2009-09-12,"3N,FC",s,NZL,SAF,29,32,2,2,1,4,"Rugby Park, Hamilton",0,2,1,1980,1990
2009-09-19,"3N,BC",n,NZL,AUS,33,6,3,0,4,0,"Westpac Trust, Wellington",0,2,3,1980,1970
2009-10-31,BC,n,NZL,AUS,32,19,2,1,4,0,"Olympic Stadium, Tokyo",1,2,3,1980,1970
2009-11-07,"AI,CC",,ENG,AUS,9,18,0,2,0,4,"Twickenham, London",0,8,3,1920,1970
2009-11-07,AI,,WAL,NZL,12,19,0,1,1,4,"Millennium Stadium, Cardiff",0,7,2,1930,1980
2009-11-13,AI,,WAL,SAM,17,13,1,1,4,1,"Millennium Stadium, Cardiff",0,8,11,1920,1890
2009-11-13,AI,,FRA,SAF,20,13,1,1,4,1,Stade Toulouse,0,5,2,1950,1980
2009-11-14,WQ,1,URU,USA,22,27,1,4,1,5,Montevideo,0,20,17,1800,1830
2009-11-14,AI,,ENG,ARG,16,9,1,0,4,1,"Twickenham, London",0,6,7,1940,1930
2009-11-14,AI,,SCO,FIJ,23,10,2,1,4,0,"Murrayfield, Edinburgh",0,9,10,1910,1900
2009-11-14,AI,,ITA,NZL,6,20,0,1,0,4,Milan,0,12,1,1880,1990
2009-11-15,AI,,IRE,AUS,20,20,2,2,2,2,"Croke Park, Dublin",0,4,3,1960,1970
2009-11-21,"AI,HC",,SCO,AUS,9,8,0,1,4,1,"Murrayfield, Edinburgh",0,9,3,1910,1970
2009-11-21,WQ,2,USA,URU,27,6,4,0,5,0,Florida,0,17,20,1830,1800
2009-11-21,"AI,HS",,ENG,NZL,6,19,0,1,0,4,"Twickenham, London",0,7,1,1930,1990
2009-11-21,AI,,WAL,ARG,33,16,3,1,4,0,"Millennium Stadium, Cardiff",0,6,8,1940,1920
2009-11-21,AI,,ITA,SAF,10,32,1,4,0,5,"Stadio Friuli, Udine",0,12,2,1880,1980
2009-11-21,AI,,IRE,FIJ,41,6,5,0,5,0,"RDS Stadium, Dublin",0,4,10,1960,1900
2009-11-21,AI,,FRA,SAM,43,5,7,1,5,0,"Stade de France, Paris",0,5,11,1950,1890
2009-11-28,"AI,DG",,FRA,NZL,12,39,0,5,0,5,Marseille,0,5,1,1950,1990
2009-11-28,AI,,SCO,ARG,6,9,0,0,1,4,"Murrayfield, Edinburgh",0,9,7,1910,1930
2009-11-28,AI,,IRE,SAF,15,10,0,1,4,1,"Croke Park, Dublin",0,4,2,1960,1980
2009-11-28,AI,,ITA,SAM,24,6,2,0,4,0,Ascoli Piceno,0,11,12,1890,1880
2009-11-28,AI,,WAL,AUS,12,30,0,4,0,5,"Millennium Stadium, Cardiff",0,8,3,1920,1970
2010-02-06,6N,1,IRE,ITA,29,11,2,1,4,0,"Croke Park, Dublin",0,4,11,1960,1890
